document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
gpt_b031_P1_r1,15,A,commercial,3,0.0002592264,0.000000,0.000000,0.0006822134
gpt_b031_P1_r1,16,A,commercial,3,-0.0124575852,0.000000,0.000000,0.0317344654
gpt_b040_P2_r1,1,A,commercial,3,0.0000030398,0.000000,0.000000,0.0000087654
gpt_b040_P2_r1,2,A,commercial,3,-0.0016368446,0.000000,0.000000,0.0045212982
gpt_b040_P2_r1,3,A,commercial,3,-0.0026146552,0.000000,0.000000,0.0073775778
gpt_b040_P2_r1,4,A,commercial,3,-0.0002095918,0.000000,0.000000,0.0006066832
gpt_b040_P2_r1,5,A,commercial,3,0.0000974771,0.000000,0.000000,0.0002817768
gpt_b040_P2_r1,10,A,commercial,3,-0.0320837881,0.333333,0.000000,0.0558017385
gpt_b040_P2_r1,11,A,commercial,3,-0.9799944384,1.000000,1.000000,0.9996778040
gpt_b040_P2_r1,13,A,commercial,3,-0.0000405121,0.000000,0.000000,0.0001143039
gpt_b040_P2_r1,15,A,commercial,3,0.0000095731,0.000000,0.000000,0.0000279729
gpt_b040_P2_r1,16,A,commercial,3,-0.0110879661,0.000000,0.000000,0.0277949743
human_hard_rusltc_0001,1,H,translation,18,0.0000929970,0.000000,0.000000,0.0006767709
human_hard_rusltc_0001,2,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0001,3,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0001,4,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0001,5,H,translation,18,0.0004757604,0.000000,0.000000,0.0036094080
human_hard_rusltc_0001,10,H,translation,18,-0.0036720179,0.000000,0.000000,0.0181005517
human_hard_rusltc_0001,11,H,translation,18,-0.0209568129,0.111111,0.000000,0.2020885143
human_hard_rusltc_0001,13,H,translation,18,0.0004004205,0.000000,0.000000,0.0124075284
human_hard_rusltc_0001,15,H,translation,18,-0.0000068275,0.000000,0.000000,0.0049588682
human_hard_rusltc_0001,16,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0002,1,H,translation,18,0.0000093600,0.000000,0.000000,0.0000626930
human_hard_rusltc_0002,2,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0002,3,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0002,4,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0002,5,H,translation,18,-0.0003911038,0.000000,0.000000,0.0023333595
human_hard_rusltc_0002,10,H,translation,18,0.0024928078,0.000000,0.000000,0.0246567200
human_hard_rusltc_0002,11,H,translation,18,-0.0037549366,0.000000,0.000000,0.0301328935
human_hard_rusltc_0002,13,H,translation,18,-0.0001611490,0.000000,0.000000,0.0018648411
human_hard_rusltc_0002,15,H,translation,18,0.0000946576,0.000000,0.000000,0.0015024244
human_hard_rusltc_0002,16,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0003,1,H,translation,18,-0.0000348556,0.000000,0.000000,0.0001665399
human_hard_rusltc_0003,2,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0003,3,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0003,4,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0003,5,H,translation,18,0.0003775953,0.000000,0.000000,0.0026834357
human_hard_rusltc_0003,10,H,translation,18,-0.0101147491,0.000000,0.000000,0.0312853785
human_hard_rusltc_0003,11,H,translation,18,-0.0424120683,0.111111,0.000000,0.3538062845
human_hard_rusltc_0003,13,H,translation,18,0.0000918809,0.000000,0.000000,0.0097409786
human_hard_rusltc_0003,15,H,translation,18,0.0011274843,0.000000,0.000000,0.0036298567
human_hard_rusltc_0003,16,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,1,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,2,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,3,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,4,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,5,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0055,10,H,translation,18,0.0065338755,0.000000,0.000000,0.0321907554
human_hard_rusltc_0055,11,H,translation,18,-0.0322355848,0.277778,0.000000,0.1089205284
human_hard_rusltc_0055,13,H,translation,18,-0.0025101024,0.000000,0.000000,0.0068388654
human_hard_rusltc_0055,15,H,translation,18,0.0018239730,0.000000,0.000000,0.0126314272
human_hard_rusltc_0055,16,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0068,1,H,translation,18,-0.0000005331,0.000000,0.000000,0.0000048890
human_hard_rusltc_0068,2,H,translation,18,-0.0000000026,0.000000,0.000000,0.0000000239
human_hard_rusltc_0068,3,H,translation,18,-0.0000000026,0.000000,0.000000,0.0000000239
human_hard_rusltc_0068,4,H,translation,18,-0.0000000026,0.000000,0.000000,0.0000000239
human_hard_rusltc_0068,5,H,translation,18,-0.0002135969,0.000000,0.000000,0.0020752128
human_hard_rusltc_0068,10,H,translation,18,-0.0000645037,0.000000,0.000000,0.0008045157
human_hard_rusltc_0068,11,H,translation,18,-0.0007359990,0.000000,0.000000,0.0069645221
human_hard_rusltc_0068,13,H,translation,18,0.0000154833,0.000000,0.000000,0.0002721201
human_hard_rusltc_0068,15,H,translation,18,0.0000828564,0.000000,0.000000,0.0009169467
