n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,n_permutations,auroc_sd,auroc_min,auroc_max
780,360,420,0.8944444444444445,0.9861111111111112,0.8949198184377983,0.9486111111111111,0.9961177248677249,0.1,0.06442166910688141,0.1696969696969697,0.1,0.11976047904191617,0.06666666666666667,0.136986301369863,holdout_genre_commercial,main,net,0.01,0.9562,18,зарегистрирован до прогона,,,,
780,360,420,0.016666666666666666,0.019444444444444445,0.10925224350361314,0.5511904761904762,0.4687632275132276,0.6309523809523809,0.3602693602693603,0.8608490566037735,0.6309523809523809,0.17964071856287425,0.95,0.8767123287671232,holdout_genre_commercial,length-only,full,0.01,0.563,4,зарегистрирован до прогона,,,,
780,360,420,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_commercial,genre-only,full,0.01,0.8253,3,зарегистрирован до прогона,,,,
780,360,420,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_commercial,source-only,full,10.0,0.5031,25,зарегистрирован до прогона,,,,
780,360,420,0.8833333333333333,0.95,0.8875964669895408,0.9380952380952381,0.9766865079365079,0.007142857142857143,0.0,0.02181818181818182,0.007142857142857143,0.011976047904191617,0.0,0.0136986301369863,holdout_genre_commercial,format-only,full,1.0,0.9729,4,зарегистрирован до прогона,,,,
780,360,420,0.975,0.9861111111111112,0.9217134133367604,0.9621031746031746,0.9972354497354496,0.06190476190476191,0.022670025188916875,0.11586901763224182,0.06190476190476191,0.07784431137724551,0.06111111111111111,0.0273972602739726,holdout_genre_commercial,main+M02,full,0.1,0.9949,23,зарегистрирован до прогона,,,,
,,,,,,,0.3625975529100529,,,,,,,,holdout_genre_commercial,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.33235658859635103,0.001355820105820102,0.9585648148148149
420,0,420,,,,,,0.05476190476190476,0.020202020202020204,0.10344827586206896,0.05476190476190476,0.0718562874251497,0.05,0.0273972602739726,holdout_genre_news,main,full,0.1,0.9943,22,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.08571428571428572,0.05555555555555555,0.14220183486238533,0.08571428571428572,0.10778443113772455,0.06111111111111111,0.0958904109589041,holdout_genre_news,main,net,0.01,0.9729,18,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.6404761904761904,0.3793103448275862,0.8603238866396761,0.6404761904761904,0.20359281437125748,0.95,0.8767123287671232,holdout_genre_news,length-only,full,0.01,0.5003,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_news,genre-only,full,0.01,0.9053,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_news,source-only,full,1.0,0.5024,25,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.009523809523809525,0.0,0.030303030303030304,0.009523809523809525,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_news,format-only,full,1.0,0.9718,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.047619047619047616,0.012048192771084338,0.09660107334525939,0.047619047619047616,0.04790419161676647,0.05555555555555555,0.0273972602739726,holdout_genre_news,main+M02,full,0.1,0.9953,23,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,0.085,0.05730129390018484,0.12866817155756208,0.0880952380952381,0.10179640718562874,0.05555555555555555,0.136986301369863,holdout_genre_prose,main,full,10.0,0.9987,22,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,0.19,0.12903225806451613,0.25925925925925924,0.15,0.12574850299401197,0.14444444444444443,0.2191780821917808,holdout_genre_prose,main,net,0.01,0.992,18,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,0.83,0.7458432304038005,0.9049128367670365,0.8523809523809524,0.6526946107784432,0.9888888888888889,0.9726027397260274,holdout_genre_prose,length-only,full,0.01,0.7082,4,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_prose,genre-only,full,0.01,0.8333,3,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_prose,source-only,full,0.01,0.5,22,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,0.006666666666666667,0.001488095238095238,0.014423076923076924,0.009523809523809525,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_prose,format-only,full,1.0,0.9817,4,"post hoc: тест одноклассовый, определим только FPR",,,,
600,0,600,,,,,,0.10166666666666667,0.06493506493506493,0.1426056338028169,0.09761904761904762,0.09580838323353294,0.09444444444444444,0.1095890410958904,holdout_genre_prose,main+M02,full,10.0,0.9993,23,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.05476190476190476,0.020202020202020204,0.10344827586206896,0.05476190476190476,0.0718562874251497,0.05,0.0273972602739726,holdout_genre_science,main,full,0.1,0.9943,22,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.08571428571428572,0.05555555555555555,0.14220183486238533,0.08571428571428572,0.10778443113772455,0.06111111111111111,0.0958904109589041,holdout_genre_science,main,net,0.01,0.9729,18,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.6404761904761904,0.3793103448275862,0.8603238866396761,0.6404761904761904,0.20359281437125748,0.95,0.8767123287671232,holdout_genre_science,length-only,full,0.01,0.5003,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_science,genre-only,full,0.01,0.9053,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_science,source-only,full,1.0,0.5024,25,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.009523809523809525,0.0,0.030303030303030304,0.009523809523809525,0.017964071856287425,0.0,0.0136986301369863,holdout_genre_science,format-only,full,1.0,0.9718,4,"post hoc: тест одноклассовый, определим только FPR",,,,
420,0,420,,,,,,0.047619047619047616,0.012048192771084338,0.09660107334525939,0.047619047619047616,0.04790419161676647,0.05555555555555555,0.0273972602739726,holdout_genre_science,main+M02,full,0.1,0.9953,23,"post hoc: тест одноклассовый, определим только FPR",,,,
1017,360,657,0.022222222222222223,0.875,0.7903636236152615,0.9106354642313546,0.9589548452562151,0.1537290715372907,0.08478260869565217,0.24036281179138322,0.15,0.15568862275449102,0.17777777777777778,0.0684931506849315,holdout_genre_seo,main,full,0.01,1.0,22,зарегистрирован до прогона,,,,
1017,360,657,0.0,0.225,0.5418560807265714,0.7786529680365297,0.8594283781498394,0.3926940639269406,0.3049095607235142,0.4845679012345679,0.3738095238095238,0.5688622754491018,0.2611111111111111,0.2054794520547945,holdout_genre_seo,main,net,0.1,0.9982,18,зарегистрирован до прогона,,,,
1017,360,657,0.0,0.06666666666666667,0.12495345488628347,0.5581621004566211,0.6125909014036868,0.6864535768645358,0.5149105367793241,0.8336520076481836,0.638095238095238,0.281437125748503,0.9055555555555556,0.7945205479452054,holdout_genre_seo,length-only,full,0.01,0.7205,4,зарегистрирован до прогона,,,,
